t_star	a	k	B	p	c	sigma_tau	r0
33	2	0.05	0.8	1.2	10	40	0.7297953792867506
33	1	0.004	1.6	0.8	25	40	0.7297673780504232
33	3	0.02	0.8	0.8	25	60	0.7296512470376421
33	1	0.006	1.6	0.8	25	40	0.7296220974308868
33	1	0.02	1.6	1	10	40	0.729552347
33	2	0.05	1.6	1.2	25	40	0.7291835129761844
33	1	0.004	0.8	0.8	10	40	0.7290768569911901
33	2	0.05	0.8	1	25	40	0.7290543493535936
33	1	0.006	0.8	0.8	10	40	0.7289527399992821
33	3	0.02	0.8	1.2	10	60	0.7289165376117506
33	3	0.02	1.6	1.2	25	60	0.7284844125940906
33	2	0.05	0.8	1.2	25	40	0.7284362272458252
33	3	0.02	0.8	1	25	60	0.7284081519154224
33	1	0.02	1.6	0.8	25	40	0.7283841000624224
33	1	0.02	0.8	0.8	10	40	0.7278492670158397
33	3	0.02	0.8	1.2	25	60	0.7277385553589761
33	2	0.05	0	0.8	25	40	0.7276750854204155
33	2	0.05	0	1	10	40	0.7276750854204155
33	2	0.05	0	0.8	10	40	0.7276750854204155
33	2	0.05	0	1.2	25	40	0.7276750854204155
33	2	0.05	0	1	25	40	0.7276750854204155
33	2	0.05	0	1.2	10	40	0.7276750854204155
33	1	0.05	1.6	1	10	40	0.726990211
33	3	0.02	0	1.2	25	60	0.7269894491677306
33	3	0.02	0	1.2	10	60	0.7269894491677306
